mainform;variation;count;details
poto;poto, potos, poto';2468;poto (1682), potos (785), poto' (1)
meuf;meuf, meufs, meuf', meufes, meufs';2313;meuf (1410), meufs (890), meuf' (11), meufes (1), meufs' (1)
keufs;keufs, keuf, keuf', keu-fli, keuffs, keufs', coeff', keufli;1360;keufs (1122), keuf (230), keuf' (2), keu-fli (2), keuffs (1), keufs' (1), coeff' (1), keufli (1)
biff;biff, biff', biffe, biffs, biffes;1421;biff (1260), biff' (102), biffe (34), biffs (19), biffes (6)
tess;tess, tess', tec', tèce, té-c', tèss, téc', tèc', téce, te-c', tesse, tèces, téss', 'té-c', tés-c', té-c, tece, téc, té-c's, té'ç, tè-c, tè-ce, te-c, téss, tesse', 'té-c;1307;tess (894), tess' (225), tec' (48), tèce (33), té-c' (28), tèss (18), téc' (13), tèc' (7), téce (6), te-c' (5), tesse (4), tèces (4), téss' (3), 'té-c' (3), tés-c' (2), té-c (2), tece (2), téc (2), té-c's (1), té'ç (1), tè-c (1), tè-ce (1), te-c (1), téss (1), tesse' (1), 'té-c (1)
zik;zik, 'sique, zic, 'zique, zik', zique, zic', ziks, 'zik, 'siques, 'zic, sique, 'ziques, zique', ziq, ziques, sique', zick', zig';831;zik (391), 'sique (159), zic (99), 'zique (50), zik' (37), zique (35), zic' (16), ziks (11), 'zik (9), 'siques (8), 'zic (4), sique (4), 'ziques (2), zique' (1), ziq (1), ziques (1), sique' (1), zick' (1), zig' (1)
pe-ra;pe-ra, peura, peu-ra, pera, pé-ra, péra, pper-ra, per-ra, ppe-ra, ppé-ra, peras, 'peu-ra', pe-ra', peur-ras, per-ra', 'pé-ra', pé-rra;833;pe-ra (278), peura (129), peu-ra (116), pera (81), pé-ra (77), péra (65), pper-ra (29), per-ra (23), ppe-ra (22), ppé-ra (4), peras (2), 'peu-ra' (2), pe-ra' (1), peur-ras (1), per-ra' (1), 'pé-ra' (1), pé-rra (1)
ken;ken, ken', quen', 'ken, quèn, quène, kène, 'ken', kén, que-n, quen, què-n, kéne;715;ken (671), ken' (16), quen' (6), 'ken (4), quèn (3), quène (3), kène (3), 'ken' (2), kén (2), que-n (2), quen (1), què-n (1), kéne (1)
tass';tass', tass, 'tasses, 'tasse, tasses, 'tass, tasse';722;tass' (179), tass (165), 'tasses (162), 'tasse (114), tasses (84), 'tass (14), tasse' (4)
mif;mif, mif', miff, miff', mifs, 'mif', miffs, mi-f', mi-f;668;mif (263), mif' (188), miff (173), miff' (31), mifs (4), 'mif' (3), miffs (3), mi-f' (2), mi-f (1)
renoi;renoi, renois, re-noi, re-nois, res-noi, renoi', renoie, renoirs, res-noir;662;renoi (398), renois (156), re-noi (85), re-nois (15), res-noi (4), renoi' (1), renoie (1), renoirs (1), res-noir (1)
reufs;reufs, reuf, reuf', reuf's, reufs', reu-f';631;reufs (368), reuf (240), reuf' (16), reuf's (4), reufs' (2), reu-f' (1)
re-frè;re-frè, refré, re-fré, res-frè, refrés, reufrés, re-frés, reufré, refrè, refrès, reu-fré, re-frès, res-fré, reufrès, reufrè, reu-frés, re-fre, refre, reuf-rés, reu-frè, re-frê, refres, res-frès, reufrée;625;re-frè (142), refré (83), re-fré (76), res-frè (73), refrés (59), reufrés (39), re-frés (27), reufré (25), refrè (21), refrès (14), reu-fré (12), re-frès (11), res-fré (9), reufrès (8), reufrè (8), reu-frés (6), re-fre (3), refre (3), reuf-rés (1), reu-frè (1), re-frê (1), refres (1), res-frès (1), reufrée (1)
fonce-dé;fonce-dé, foncedé, fonsdé, fons-dé, foncdé, fonc-dé, fonces-dé, foncedés, fonceder, fonsdés, fonce-dés, fonce-der, fonce-dé', fonsdée, fonc'dé, fonse-dé, fonc'-dé, foncder, fonsdé', foncer-dé, fonss-dé, fonce-dée, fonce-dées, foncé-dé, foncédés, foncées-dé, fonce-deh, fons-de, fonsder, fonc-dés, fon-ce-der, fon-ce-dé, fon-ce-dés;625;fonce-dé (333), foncedé (99), fonsdé (61), fons-dé (21), foncdé (15), fonc-dé (13), fonces-dé (13), foncedés (13), fonceder (8), fonsdés (7), fonce-dés (5), fonce-der (4), fonce-dé' (4), fonsdée (3), fonc'dé (3), fonse-dé (3), fonc'-dé (2), foncder (2), fonsdé' (2), foncer-dé (1), fonss-dé (1), fonce-dée (1), fonce-dées (1), foncé-dé (1), foncédés (1), foncées-dé (1), fonce-deh (1), fons-de (1), fonsder (1), fonc-dés (1), fon-ce-der (1), fon-ce-dé (1), fon-ce-dés (1)
téma;téma, té-ma, tema, te-ma, ter-ma, té-ma', tez-ma, tté-ma, tter-ma, 'té-ma', téma', te-mat, tte-ma, té'ma;615;téma (273), té-ma (218), tema (39), te-ma (35), ter-ma (28), té-ma' (5), tez-ma (4), tté-ma (4), tter-ma (2), 'té-ma' (2), téma' (2), te-mat (1), tte-ma (1), té'ma (1)
déter';déter', déter, deter', déters, détère, dé-ter, détér, détèr, détères;537;déter' (346), déter (152), deter' (14), déters (9), détère (7), dé-ter (5), détér (2), détèr (1), détères (1)
vesqui;vesqui, ves-qui, v'-esqui, veski, vé-squi, ve-squi, ver-squi, ve-esqui, vesqui', vés-qui, ves-ki, v'-squi, ves'-qui, ves'qui, ves-esqui, ves-qui', ves-squi, vesquis, v'-esqui', v'-ésqui, vès-qui, ve-esqui', veski';532;vesqui (236), ves-qui (153), v'-esqui (49), veski (20), vé-squi (14), ve-squi (12), ver-squi (10), ve-esqui (9), vesqui' (8), vés-qui (7), ves-ki (2), v'-squi (1), ves'-qui (1), ves'qui (1), ves-esqui (1), ves-qui' (1), ves-squi (1), vesquis (1), v'-esqui' (1), v'-ésqui (1), vès-qui (1), ve-esqui' (1), veski' (1)
ap;ap, ap', as-p, aps, 'as-p', 'ap, a-p, as-p', 'ap', ap-s, 'a-p, 'aps';511;ap (264), ap' (105), as-p (57), aps (48), 'as-p' (9), 'ap (7), a-p (7), as-p' (6), 'ap' (3), ap-s (2), 'a-p (2), 'aps' (1)
rebeu;rebeu, rebeus, rebeux, reubeus, reubeu, re-beu, rebeu', re-beus, rebeuz, reubeux, reu-beu;503;rebeu (285), rebeus (121), rebeux (30), reubeus (23), reubeu (20), re-beu (12), rebeu' (3), re-beus (3), rebeuz (3), reubeux (2), reu-beu (1)
cons';cons';290;
tieks;tieks, tiek, tiek's, tiek', tieks', tièks, tieqs, tiéks, tiecks, tier-q', tièk, tieq's, tiék, tiec's, tier-c, tierq, tiék's, tièq, tiècs;545;tieks (424), tiek (44), tiek's (30), tiek' (10), tieks' (8), tièks (7), tieqs (5), tiéks (2), tiecks (2), tier-q' (2), tièk (2), tieq's (2), tiék (1), tiec's (1), tier-c (1), tierq (1), tiék's (1), tièq (1), tiècs (1)
tit-pe;tit-pe, tits-pe, ti-peu, ti-pe, tipeu, tit-peu, tits-peu, tipeus, tipeux, 'tits-pe', titepe, tis-peu, tite-pe, tit-pe', tits-pe', tis-pe, ti-peus, tites-pe, 'tit-pe';475;tit-pe (175), tits-pe (162), ti-peu (39), ti-pe (29), tipeu (24), tit-peu (15), tits-peu (7), tipeus (7), tipeux (5), 'tits-pe' (3), titepe (1), tis-peu (1), tite-pe (1), tit-pe' (1), tits-pe' (1), tis-pe (1), ti-peus (1), tites-pe (1), 'tit-pe' (1)
ouf;ouf, oufs, ouf', ou-f;468;ouf (387), oufs (75), ouf' (4), ou-f (2)
'sky;'sky, sky';80;'sky (45), sky' (35)
ients-cli;ients-cli, ient-cli, ien-cli, ienclis, iencli, yenclis, ien-clis, ients-ients, iens-cli, ien-clits, ienclits, ients-clis, ienclards, ient-clis, ien-clit, ienclar, ien-clar, yenclar, ientscli, ientes-cli, ienclie, 'ient-cli', ienclard, iens-clar, ients-clar', yenclars;432;ients-cli (175), ient-cli (95), ien-cli (51), ienclis (23), iencli (23), yenclis (11), ien-clis (8), ients-ients (8), iens-cli (7), ien-clits (4), ienclits (3), ients-clis (3), ienclards (3), ient-clis (2), ien-clit (2), ienclar (2), ien-clar (2), yenclar (2), ientscli (1), ientes-cli (1), ienclie (1), 'ient-cli' (1), ienclard (1), iens-clar (1), ients-clar' (1), yenclars (1)
concu';concu', concu, conqu, conqu';436;concu' (284), concu (150), conqu (1), conqu' (1)
tier-quar;tier-quar, tiers-quar, tié-quar, tierquar, tiekar, tier-car, tier-quar', tier-qua, tiéquar, tiécar, tie-quar, tié-kar, tiékar, tié-quart, tiers-quart, tiékars, tiekcar, tiecar, tier'qua, tiequar, tier-quars, tiers-qua, 'tier-quar', tiécard, tiécars, tiè-quar;409;tier-quar (281), tiers-quar (23), tié-quar (20), tierquar (11), tiekar (11), tier-car (9), tier-quar' (7), tier-qua (7), tiéquar (6), tiécar (5), tie-quar (4), tié-kar (4), tiékar (4), tié-quart (3), tiers-quart (2), tiékars (2), tiekcar (1), tiecar (1), tier'qua (1), tiequar (1), tier-quars (1), tiers-qua (1), 'tier-quar' (1), tiécard (1), tiécars (1), tiè-quar (1)
scred;scred, scred', 'scred', screds, scréd, scre-d, 'scred, 'scrète, scret;342;scred (299), scred' (30), 'scred' (4), screds (3), scréd (2), scre-d (1), 'scred (1), 'scrète (1), scret (1)
tasse-pé;tasse-pé, tasses-pé, tass-pé, taspé, tasspé, taspés, tasspés, tas-pé, tassepé, tassepés, tass-pés, 'tasses-pé', tasse-pé', tasse-pe, tasse-pés, tass-pé', tass-pées, 'tasses-pé;345;tasse-pé (134), tasses-pé (89), tass-pé (48), taspé (16), tasspé (15), taspés (10), tasspés (9), tas-pé (4), tassepé (3), tassepés (3), tass-pés (3), 'tasses-pé' (3), tasse-pé' (3), tasse-pe (1), tasse-pés (1), tass-pé' (1), tass-pées (1), 'tasses-pé (1)
zeb;zeb, zeub, zebi, zeubi, zeb', zeubs, zeub', zebs, zéb';338;zeb (226), zeub (48), zebi (23), zeubi (18), zeb' (16), zeubs (4), zeub' (1), zebs (1), zéb' (1)
oim;oim, oi-m, oim', ois-m, oims, oi-ms, oims', 'oim;338;oim (233), oi-m (64), oim' (34), ois-m (2), oims (2), oi-ms (1), oims' (1), 'oim (1)
chelou;chelou, chelous, che-lou, ches-lou, cheloues, cheloue, 'che-lou', chelou', ches-lou', cheloument;335;chelou (207), chelous (58), che-lou (42), ches-lou (14), cheloues (5), cheloue (3), 'che-lou' (3), chelou' (1), ches-lou' (1), cheloument (1)
'teille;'teille, 'teilles, teilles', teil', teill', teill, 'teil;336;'teille (248), 'teilles (75), teilles' (5), teil' (4), teill' (2), teill (1), 'teil (1)
gamos;gamos, gamoss, gamosse, gamosses;351;gamos (343), gamoss (6), gamosse (1), gamosses (1)
boloss;boloss, bolosses, bolosse, bolosser, bolossé, bolos', boloss', bolossent;330;boloss (231), bolosses (54), bolosse (37), bolosser (3), bolossé (2), bolos' (1), boloss' (1), bolossent (1)
deuspi;deuspi, de-spee, despi, de-spi, despee, deu-spi, deu-spee, deus-pi, de-spee', deuspi', deusspi, deuss-pi;318;deuspi (94), de-spee (87), despi (54), de-spi (25), despee (23), deu-spi (19), deu-spee (5), deus-pi (4), de-spee' (3), deuspi' (2), deusspi (1), deuss-pi (1)
soss;soss, soces, soss', soc', ssoc', ssos', 'soce, 'soces, soc's, 'ssoc, 'ssoce, 'ssos;315;soss (110), soces (73), soss' (64), soc' (53), ssoc' (4), ssos' (3), 'soce (2), 'soces (2), soc's (1), 'ssoc (1), 'ssoce (1), 'ssos (1)
pécho;pécho, per-cho, pé-cho, pecho, pper-cho, pe-cho, péchos, per-cho', pper-cho', pé-cho';310;pécho (205), per-cho (43), pé-cho (40), pecho (8), pper-cho (6), pe-cho (3), péchos (2), per-cho' (1), pper-cho' (1), pé-cho' (1)
couz;couz, couz', cous', couzs;314;couz (127), couz' (122), cous' (60), couzs (5)
rain-té;rain-té, rrain-té, rrain-te, rainté, rain-ter, rain-te, rinté, rrainté, rrains-te, raintés, rainter, rrains-té, rains-té, rain-tés, rain-t, rintés;392;rain-té (122), rrain-té (116), rrain-te (63), rainté (39), rain-ter (16), rain-te (9), rinté (7), rrainté (5), rrains-te (3), raintés (3), rainter (2), rrains-té (2), rains-té (2), rain-tés (1), rain-t (1), rintés (1)
àl;àl, à-l, al';272;àl (185), à-l (58), al' (29)
vi-ser;vi-ser, vis-ser, vi-sser, vissère, visser', vi-cer, vi-ser', vi-sère, vi-sèr, vi-sér, vi'-ser, visère, vies-ser, visére, vi-scer, vi-sere, vi-sére;281;vi-ser (198), vis-ser (32), vi-sser (18), vissère (8), visser' (7), vi-cer (4), vi-ser' (3), vi-sère (2), vi-sèr (1), vi-sér (1), vi'-ser (1), visère (1), vies-ser (1), visére (1), vi-scer (1), vi-sere (1), vi-sére (1)
seufs;seufs, seuf, sseufs, sses-f', seuf', sse-fe, sseuf, sseuf', seuff, sse-f', seuffs, seufs', ssef, sseufs', seuf's, 'sseuf, sse-fés, sse-f, sse-fes, sse-fé;276;seufs (181), seuf (31), sseufs (18), sses-f' (7), seuf' (7), sse-fe (6), sseuf (4), sseuf' (3), seuff (3), sse-f' (3), seuffs (2), seufs' (2), ssef (2), sseufs' (1), seuf's (1), 'sseuf (1), sse-fés (1), sse-f (1), sse-fes (1), sse-fé (1)
paro;paro, paro';275;paro (264), paro' (11)
té-ci;té-ci, téci, tés-ci, 'té-ci', teci, té-ci', técis, te-ci, té-cies, téçi, te-si;271;té-ci (213), téci (26), tés-ci (20), 'té-ci' (3), teci (3), té-ci' (1), técis (1), te-ci (1), té-cies (1), téçi (1), te-si (1)
brolique;brolique, brolic, brolik, broliques, brolics, brelic, brolick, broliks, breliques, brelik, brolicks, brelique, brelics, brolic', brelic', bre-lic, brelick, lik-bro, bre-li-ca;281;brolique (108), brolic (66), brolik (28), broliques (17), brolics (12), brelic (9), brolick (8), broliks (6), breliques (6), brelik (4), brolicks (3), brelique (3), brelics (2), brolic' (2), brelic' (2), bre-lic (2), brelick (1), lik-bro (1), bre-li-ca (1)
instru;instru, instrus, instru', instrus';593;instru (454), instrus (81), instru' (56), instrus' (2)
zin;zin, zins, 'zin, zin', 'sin, zinz, zinz', zin's, zins', 'zins;245;zin (128), zins (70), 'zin (17), zin' (12), 'sin (8), zinz (4), zinz' (3), zin's (1), zins' (1), 'zins (1)
te-tê;te-tê, te-té, teté, teuté, tetê, tetés, te-tés, teu-tê, teu-té, teu-tés, te-tês, teus-tê, teutés;248;te-tê (186), te-té (26), teté (13), teuté (7), tetê (4), tetés (2), te-tés (2), teu-tê (2), teu-té (2), teu-tés (1), te-tês (1), teus-tê (1), teutés (1)
stud';stud', studs';267;stud' (266), studs' (1)
diff';diff', dif';236;diff' (207), dif' (29)
blème;blème, 'blèmes, 'blème, blèmes, blems, blem, blem', blemes, 'blême, 'blêmes, blèmes', 'blemes, blèm, 'blems, 'blèm, 'blem, 'bleme;242;blème (66), 'blèmes (59), 'blème (40), blèmes (36), blems (10), blem (7), blem' (5), blemes (3), 'blême (3), 'blêmes (3), blèmes' (2), 'blemes (2), blèm (2), 'blems (1), 'blèm (1), 'blem (1), 'bleme (1)
du-per;du-per, duper, dus-per, du-per', due-per, 'du-per', dus-per', du-perd, duper';230;du-per (142), duper (52), dus-per (23), du-per' (3), due-per (3), 'du-per' (2), dus-per' (2), du-perd (2), duper' (1)
tain-p';tain-p', tainp, tainp', timp', timp, timpes, timps, tainps, tains-p', tain-p, timpe, taimp', taimp, tains-p, 'tains-p', tainpes, tinp, tinp', 'tainp, tainpe, timps', tain-p's, tain-ps, tains', tainsp', taimpe, timp's, tinpes, tinps, tin-p';227;tain-p' (38), tainp (26), tainp' (25), timp' (16), timp (16), timpes (12), timps (12), tainps (12), tains-p' (12), tain-p (11), timpe (7), taimp' (4), taimp (4), tains-p (4), 'tains-p' (4), tainpes (3), tinp (3), tinp' (3), 'tainp (2), tainpe (2), timps' (2), tain-p's (1), tain-ps (1), tains' (1), tainsp' (1), taimpe (1), timp's (1), tinpes (1), tinps (1), tin-p' (1)
merco;merco, merco', mercos, merco-benz, merco-benzo;248;merco (224), merco' (9), mercos (7), merco-benz (7), merco-benzo (1)
bé-tom;bé-tom, ber-tom, bé-ton, be-tom, bétom, bés-tom, ber-ton, 'ber-tom', bes-tom, bé-tom', bé-tonm, be-ton, ber-tom', 'bés-tom', bée-tom;226;bé-tom (91), ber-tom (59), bé-ton (21), be-tom (20), bétom (14), bés-tom (7), ber-ton (3), 'ber-tom' (3), bes-tom (2), bé-tom' (1), bé-tonm (1), be-ton (1), ber-tom' (1), 'bés-tom' (1), bée-tom (1)
skeud;skeud, skeuds, skeud', sque-d, squeud, squed', squeuds, squeud', squed, skeu, ckeud, sceuds;230;skeud (126), skeuds (75), skeud' (12), sque-d (4), squeud (4), squed' (2), squeuds (2), squeud' (1), squed (1), skeu (1), ckeud (1), sceuds (1)
tard-pé;tard-pé, tarpé, tar-pé, tarpés, tards-pé, tar-pés, tard-pé', 'tard-pé', tard-p';231;tard-pé (86), tarpé (74), tar-pé (36), tarpés (17), tards-pé (12), tar-pés (2), tard-pé' (2), 'tard-pé' (1), tard-p' (1)
kil';kil', kils, kils', kil's;219;kil' (142), kils (62), kils' (8), kil's (7)
tel-hô;tel-hô, tel-ho, télo, tels-hô, telho, tél-hô, tels-ho, tel-ho', tel-ô, télho;232;tel-hô (142), tel-ho (66), télo (7), tels-hô (5), telho (4), tél-hô (3), tels-ho (2), tel-ho' (1), tel-ô (1), télho (1)
cess;cess, cess', 'cess;209;cess (141), cess' (64), 'cess (4)
babtou;babtou, babtous, babtoues, bab-tou;215;babtou (123), babtous (90), babtoues (1), bab-tou (1)
peufra;peufra, ppe-fra, pe-fra, peu-fra, pefra, pé-fra, peuffra, pe-ffra, ppé-fra, pper-fra, 'ppe-fra', per-fra;210;peufra (78), ppe-fra (62), pe-fra (26), peu-fra (24), pefra (8), pé-fra (3), peuffra (2), pe-ffra (2), ppé-fra (2), pper-fra (1), 'ppe-fra' (1), per-fra (1)
ter-ter;ter-ter, terter, terre-terre, ter-terre, ter-ters, tèr-tèr, terters;245;ter-ter (186), terter (44), terre-terre (8), ter-terre (3), ter-ters (2), tèr-tèr (1), terters (1)
inspi;inspi, inspi';420;inspi (225), inspi' (195)
te-shi;te-shi, teu-shi, teushi, teuchi, te-chi, t-shi, teshi, teu-chi, teu-schi, ti-shi;204;te-shi (95), teu-shi (33), teushi (31), teuchi (20), te-chi (8), t-shi (7), teshi (5), teu-chi (3), teu-schi (1), ti-shi (1)
peuf;peuf, peuf', ppe-f', peufs, peuff, ppe-f;191;peuf (124), peuf' (31), ppe-f' (29), peufs (4), peuff (2), ppe-f (1)
bre-som;bre-som, bresom, bressom, bres-som, breussom, bre-soms, bre-son, bre-ssom, bressoms;195;bre-som (117), bresom (31), bressom (25), bres-som (17), breussom (1), bre-soms (1), bre-son (1), bre-ssom (1), bressoms (1)
cro-mi;cro-mi, cromi, 'cro-mi', cro-mi', cros-mi, cromis, cro-im;221;cro-mi (179), cromi (24), 'cro-mi' (8), cro-mi' (4), cros-mi (3), cromis (2), cro-im (1)
indé;indé, indé', indés;205;indé (115), indé' (77), indés (13)
bat';bat', bâts';124;bat' (121), bâts' (3)
sère-mi;sère-mi, zermi, zer-mi, zère-mi, sèr-mi, sères-mi, sere-mi, 'sère-mi, 'sère-mi', sèremi, zèr-mi;185;sère-mi (135), zermi (27), zer-mi (6), zère-mi (4), sèr-mi (2), sères-mi (2), sere-mi (2), 'sère-mi (2), 'sère-mi' (2), sèremi (2), zèr-mi (1)
cain-ri;cain-ri, cainri, cainris, cains-ri, cain-ris, cains-'ri, cain-'ri, cainry, cain'-'ri, cainrys;181;cain-ri (59), cainri (51), cainris (39), cains-ri (20), cain-ris (4), cains-'ri (2), cain-'ri (2), cainry (2), cain'-'ri (1), cainrys (1)
zinc;zinc, zinc', zincs, sin-c', zincs', zin-c', zinc's, 'zinc, zink', sin-c;186;zinc (89), zinc' (49), zincs (27), sin-c' (7), zincs' (5), zin-c' (3), zinc's (2), 'zinc (2), zink' (1), sin-c (1)
té-cô;té-cô, té-co, téco, te-cô, técô, té-côt, te-co, técos, tée-co;216;té-cô (127), té-co (58), téco (20), te-cô (5), técô (2), té-côt (1), te-co (1), técos (1), tée-co (1)
uc;uc, uc', ul-c, 'uc, uls-c, u-c, uc's, ucs, ul-c', uc-l, ulc, uls-c', ul'c, u-c', u'c;201;uc (94), uc' (46), ul-c (36), 'uc (5), uls-c (4), u-c (3), uc's (2), ucs (2), ul-c' (2), uc-l (2), ulc (1), uls-c' (1), ul'c (1), u-c' (1), u'c (1)
perquis';perquis', perquise, perquises, perquis, perquiz', perquise', perquiz, perquize, perquisent, perquiser, perquisait;178;perquis' (91), perquise (46), perquises (15), perquis (7), perquiz' (5), perquise' (5), perquiz (3), perquize (2), perquisent (2), perquiser (1), perquisait (1)
gent-ar;gent-ar, gen-ar, gen-art, gents-ar, gent-ar';192;gent-ar (155), gen-ar (31), gen-art (3), gents-ar (2), gent-ar' (1)
seille-o;seille-o, zeillo, seill-o, zeille-o, seil-o, seillo, seille-o', 'seille-o, zei-llo, seilleo, seileos, 'seillo, zeil-o, zeill-o, zeilo;183;seille-o (140), zeillo (11), seill-o (11), zeille-o (6), seil-o (2), seillo (2), seille-o' (2), 'seille-o (2), zei-llo (1), seilleo (1), seileos (1), 'seillo (1), zeil-o (1), zeill-o (1), zeilo (1)
tej;tej, tèj, tej', téj, té-je, tè-je, tèje, te-je, tèjent, te-j, 'tej, te-jè, te-jé, teuj, ter-j, ter-je, tè-j, tte-je;178;tej (64), tèj (37), tej' (30), téj (13), té-je (8), tè-je (5), tèje (4), te-je (3), tèjent (3), te-j (3), 'tej (1), te-jè (1), te-jé (1), teuj (1), ter-j (1), ter-je (1), tè-j (1), tte-je (1)
véner;véner, vénèr, vener, véner', vé-ner, véners, vener', veners, vénèrs, vé-'ner, vé-nère, 'vé-ner', 'vée-ner', 'vés-ner', vénerre, vénére, vénerer, ve-ner, vènére, vé-ner', vé-nere, vé-nér, 'vées-ner';147;véner (33), vénèr (32), vener (30), véner' (14), vé-ner (10), véners (2), vener' (2), veners (2), vénèrs (2), vé-'ner (2), vé-nère (2), 'vé-ner' (2), 'vée-ner' (2), 'vés-ner' (2), vénerre (2), vénére (1), vénerer (1), ve-ner (1), vènére (1), vé-ner' (1), vé-nere (1), vé-nér (1), 'vées-ner' (1)
aç;aç, ac', a-ç, aç', 'à-ç', 'a-ç', àç', a-ç';164;aç (96), ac' (30), a-ç (27), aç' (6), 'à-ç' (2), 'a-ç' (1), àç' (1), a-ç' (1)
lope-sa;lope-sa, lossa, lopes-sa, lossas, losa, lopsa, lo-sa, lops-sa, los-sa, losas, lope-sas, loppes-sa, lopesa, lopsale, 'lopes-sa', lo-ssa, lopes-s;163;lope-sa (55), lossa (40), lopes-sa (24), lossas (11), losa (8), lopsa (6), lo-sa (5), lops-sa (4), los-sa (2), losas (1), lope-sas (1), loppes-sa (1), lopesa (1), lopsale (1), 'lopes-sa' (1), lo-ssa (1), lopes-s (1)
gova;gova, govas, go-va, gos-va;164;gova (139), govas (13), go-va (11), gos-va (1)
opé;opé, opé', opés;165;opé (98), opé' (55), opés (12)
pe-pom;pe-pom, pé-pom, per-pom, pes-pom, pépom, pepom, peu-pom, pe-pon, pe-poms, pepoms, peupom, 'pé-pom';175;pe-pom (70), pé-pom (35), per-pom (29), pes-pom (9), pépom (9), pepom (7), peu-pom (5), pe-pon (4), pe-poms (2), pepoms (2), peupom (2), 'pé-pom' (1)
gardav';gardav', garde-à-v', gardav, gard'av, gardes-à-v', garde-av, garde-av', gardave, garde-à-v, gard'à'v, gard'à-v', gard-a-v', gard-av, gardav's;160;gardav' (71), garde-à-v' (29), gardav (25), gard'av (15), gardes-à-v' (4), garde-av (3), garde-av' (3), gardave (3), garde-à-v (2), gard'à'v (1), gard'à-v' (1), gard-a-v' (1), gard-av (1), gardav's (1)
cheum;cheum, cheums, cheum', cheums', 'cheum';160;cheum (142), cheums (12), cheum' (4), cheums' (1), 'cheum' (1)
gue-dro;gue-dro, guedro, gues-dro, guer-dro, gue-dros, gue'dro, gue-dro';160;gue-dro (132), guedro (16), gues-dro (6), guer-dro (3), gue-dros (1), gue'dro (1), gue-dro' (1)
beur;beur, beurs, beu-r, beure, beur';158;beur (82), beurs (72), beu-r (2), beure (1), beur' (1)
tout-par;tout-par, tou-par, tout-part, tout-par', toutpar, toupar;154;tout-par (138), tou-par (6), tout-part (5), tout-par' (2), toutpar (2), toupar (1)
de-mer;de-mer, demer, de-mer', 'de-mer';156;de-mer (150), demer (4), de-mer' (1), 'de-mer' (1)
dar;dar, dar', dars;153;dar (128), dar' (13), dars (12)
oinj;oinj, oinj', oint-j, oinjs, oin-j, oints-j, oin-je, oinj-t, oin'-j, oinje, oinjes, oinjt;159;oinj (69), oinj' (30), oint-j (28), oinjs (10), oin-j (10), oints-j (4), oin-je (2), oinj-t (2), oin'-j (1), oinje (1), oinjes (1), oinjt (1)
veau-cer;veau-cer, veaux-cer, veaucer, veaucers, vau-cer, veaux-cer';185;veau-cer (157), veaux-cer (14), veaucer (8), veaucers (3), vau-cer (2), veaux-cer' (1)
mille-fa;mille-fa, mifa, mi-fa, miffa, millefa, mille-af, mifa', mille'fa, mille-a-f;146;mille-fa (68), mifa (49), mi-fa (17), miffa (5), millefa (2), mille-af (2), mifa' (1), mille'fa (1), mille-a-f (1)
relou;relou, relous, re-lou, relou', res-lou;145;relou (105), relous (23), re-lou (15), relou' (1), res-lou (1)
comico;comico, comico', comicos;156;comico (142), comico' (8), comicos (6)
teuf;teuf, teufs, te-fê, teuf', te-fé, teuff;144;teuf (103), teufs (24), te-fê (8), teuf' (5), te-fé (3), teuff (1)
te-trai;te-trai, te-traî, tes-traî, tes-trai, te-trais, teutraî, tetrai, tetrais, tetré, teutrés, teutrai, teutraîs, teu-traî, teu-tré, teu-trés;149;te-trai (43), te-traî (41), tes-traî (36), tes-trai (11), te-trais (3), teutraî (2), tetrai (2), tetrais (2), tetré (2), teutrés (2), teutrai (1), teutraîs (1), teu-traî (1), teu-tré (1), teu-trés (1)
llets-bi;llets-bi, llet-bi, illet-bi, illets-bi, lliets-bi, illetbi, ietts-b', illet-bs, illets-b, lletbi, llets-b', lletts-bi, lliet-bi;146;llets-bi (57), llet-bi (40), illet-bi (21), illets-bi (18), lliets-bi (2), illetbi (1), ietts-b' (1), illet-bs (1), illets-b (1), lletbi (1), llets-b' (1), lletts-bi (1), lliet-bi (1)
ieps;ieps, iep, ieds-p, ied-p, iep', ièp, ieds-p', iepds, 'iep, ie-p, ied-p', ieu-p, 'ieds-p', iep-ds, ieps', iepd, 'ied-p', ieup, 'ieps, ièps, iép, iép', ieupé;143;ieps (38), iep (26), ieds-p (21), ied-p (12), iep' (7), ièp (5), ieds-p' (4), iepds (4), 'iep (4), ie-p (3), ied-p' (2), ieu-p (2), 'ieds-p' (2), iep-ds (2), ieps' (2), iepd (2), 'ied-p' (1), ieup (1), 'ieps (1), ièps (1), iép (1), iép' (1), ieupé (1)
michtos;michtos, michto, michto', micheto';143;michtos (68), michto (67), michto' (7), micheto' (1)
roro;roro, ro-ro, roros, roro', ro-ros;157;roro (139), ro-ro (13), roros (3), roro' (1), ro-ros (1)
caille-ra;caille-ra, cailles-ra, caille-ras, 'cailles-ra';136;caille-ra (94), cailles-ra (38), caille-ras (3), 'cailles-ra' (1)
capuché;capuché, capuchés, capuchée;135;capuché (114), capuchés (17), capuchée (4)
me-ar;me-ar, mes-ar, mé-ar, me-ars, mée-ar, me-arm, mes-ar';136;me-ar (72), mes-ar (48), mé-ar (8), me-ars (4), mée-ar (2), me-arm (1), mes-ar' (1)
