mainform;variation;count;details
scret-di;scret-di, screts-di, scredi, scré-di, scrédi, scret-dis, 'scret-di';32;scret-di (20), screts-di (3), scredi (3), scré-di (2), scrédi (2), scret-dis (1), 'scret-di' (1)
siste-gro;siste-gro, siste-gros, sistes-gro, sistes-gros, sisste-gro, sisstes-gro, sisstgro;31;siste-gro (12), siste-gros (8), sistes-gro (3), sistes-gros (3), sisste-gro (3), sisstes-gro (1), sisstgro (1)
ière-pri;ière-pri, ières-pri, ièr-pri, ier-pri;30;ière-pri (25), ières-pri (3), ièr-pri (1), ier-pri (1)
ien-ien;ien-ien, ient-ient, ien-iens, iens-iens, ien-ients, 'ients-ients, ient-ients, 'ients-'ients, 'ient-'ient, 'iens-'iens;30;ien-ien (8), ient-ient (5), ien-iens (4), iens-iens (4), ien-ients (3), 'ients-ients (2), ient-ients (1), 'ients-'ients (1), 'ient-'ient (1), 'iens-'iens (1)
ingé;ingé, ingé', ingés;118;ingé (77), ingé' (37), ingés (4)
chichon;chichon, chichons;36;chichon (34), chichons (2)
llé-gri;llé-gri, illé-gri, llée-gri, llés-gri, ille-gri, llées-gri, illé-gri', iller-gri;31;llé-gri (13), illé-gri (8), llée-gri (3), llés-gri (2), ille-gri (2), llées-gri (1), illé-gri' (1), iller-gri (1)
blanco;blanco, blancos;31;blanco (21), blancos (10)
semi-auto;semi-auto, semi-auto', semi-autos;30;semi-auto (27), semi-auto' (2), semi-autos (1)
ché-cher;ché-cher, che-cher, cher-cher', chés-cher, chécher', ché-chèr;29;ché-cher (17), che-cher (8), cher-cher' (1), chés-cher (1), chécher' (1), ché-chèr (1)
seul-tout;seul-tout, seuls-tous, seuls-tout, seule-tout, seule-toute;29;seul-tout (25), seuls-tous (1), seuls-tout (1), seule-tout (1), seule-toute (1)
ge-gor;ge-gor, gé-gor, gegor;30;ge-gor (24), gé-gor (4), gegor (2)
ripoux;ripoux, ripou, ripous, ri-pou;29;ripoux (17), ripou (7), ripous (3), ri-pou (2)
roc-ma;roc-ma;25;
seille-mar;seille-mar;23;
uer-t;uer-t, uet, ue-t, uer't, uet';30;uer-t (20), uet (4), ue-t (4), uer't (1), uet' (1)
che-ri;che-ri, che-ri';31;che-ri (30), che-ri' (1)
pétage;pétage, pétages;29;pétage (26), pétages (3)
de-wee;de-wee, dewee;28;de-wee (27), dewee (1)
me-gra;me-gra, mme-gra, meu-gra, me-gras, meugra, meugras, mme-gras;30;me-gra (12), mme-gra (8), meu-gra (3), me-gras (3), meugra (2), meugras (1), mme-gras (1)
keblack;keblack, kebla, ck-bla, ke-bla, keu-bla, ckes-bla;27;keblack (16), kebla (3), ck-bla (2), ke-bla (2), keu-bla (2), ckes-bla (2)
ge-ra;ge-ra, ges-ra;28;ge-ra (27), ges-ra (1)
cainf';cainf', kainf, cainf, cain-f', kainfr, kainfr', kainfs, kainf', cain-fr;27;cainf' (6), kainf (6), cainf (4), cain-f' (3), kainfr (2), kainfr' (2), kainfs (2), kainf' (1), cain-fr (1)
pav';pav', pavs, pav's;29;pav' (26), pavs (2), pav's (1)
çon-cale;çon-cale, çon-cal, çons-cal, çons-cale, con-cale, sson-cal;36;çon-cale (25), çon-cal (7), çons-cal (1), çons-cale (1), con-cale (1), sson-cal (1)
loss-bo;loss-bo, losse-bo, losses-bo, losse-bar, lossbo, 'losse-bo', loss-bar, loss-bards, lossbar;28;loss-bo (11), losse-bo (6), losses-bo (4), losse-bar (2), lossbo (1), 'losse-bo' (1), loss-bar (1), loss-bards (1), lossbar (1)
tard-mi;tard-mi, tar-mi;28;tard-mi (22), tar-mi (6)
gue-shla;gue-shla, gues-shla, gue-schla, geu-shla, geushla, gue-shlas, gueshlas, geu-chla;28;gue-shla (7), gues-shla (6), gue-schla (5), geu-shla (4), geushla (3), gue-shlas (1), gueshlas (1), geu-chla (1)
rari;rari, 'rari, 'rrari, rrari', rari';29;rari (13), 'rari (7), 'rrari (7), rrari' (1), rari' (1)
sse-pa;sse-pa, sser-pa, ssé-pa, sser-par, sses-pa, sses-pas;26;sse-pa (12), sser-pa (6), ssé-pa (4), sser-par (2), sses-pa (1), sses-pas (1)
kiffeurs;kiffeurs, kiffeur;26;kiffeurs (14), kiffeur (12)
zarbi;zarbi, zarre-bi, zar-bi, zarres-bi, zarbis;26;zarbi (15), zarre-bi (7), zar-bi (2), zarres-bi (1), zarbis (1)
main-de;main-de;20;
stard-co;stard-co, stards-co, starco;26;stard-co (19), stards-co (5), starco (2)
gestu';gestu', gestu;26;gestu' (17), gestu (9)
